Mean Return,Standard Deviation
-115.583,46.143
-77.2309,42.7597
-60.7682,32.2429
-45.7227,28.5141
-42.6309,26.9355
-36.2927,28.1327
-38.6818,34.6465
-33.0327,31.6849
-25.29,11.6425
-29.49,37.3394
-25.7527,19.6951
-21.7709,14.2837
-22.66,27.4198
-21.9618,28.028
-17.7673,8.7162
-20.8927,27.4312
-16.1045,6.68962
-19.7709,25.4092
-16.1291,15.3774
-17.8782,27.2314
-19.2609,36.868
-20.6664,36.6455
-18.8318,32.8299
-15.2136,15.7578
-16.0164,27.2882
-19.1782,42.3628
-14.7918,23.2335
-12.4945,9.88189
-12.5755,14.708
-12.7727,14.3151
-16.0545,35.222
-16.0736,33.5914
-16.2355,35.4798
-15.7209,37.8136
-10.8327,5.34409
-15.3418,28.7562
-16.5709,37.185
-9.94182,4.68925
-15.4282,34.2337
-9.94273,5.31726
-9.54727,5.06431
-15.5655,40.19
-11.8264,19.6006
-19.0573,46.5455
-14.51,35.8086
-13.85,36.2039
-8.56273,4.82672
-11.3336,27.4052
-9.89818,22.1044
-9.47636,11.407
-9.21182,11.3061
-12.1327,29.0931
-7.95273,5.36577
-11.02,27.2388
-10.9836,27.5463
-14.3273,39.4586
-12.9827,28.4789
-9.35273,20.9488
-7.72455,10.8278
-9.29909,11.6523
-10.5836,23.4215
-7.42909,7.47349
-11.5227,30.3327
-8.55818,14.7179
-10.9782,26.4249
-10.2791,27.3874
-12.68,32.7372
-13.7291,36.4895
-6.81273,4.51113
-11.3982,29.6453
-9.69091,27.4765
-9.05727,23.3875
-8.18727,13.9962
-8.30455,15.664
-13.8373,41.2164
-12.7445,39.3597
-19.9782,53.2306
-10.4436,23.9926
-6.35636,4.27936
-6.75636,4.90978
-7.16909,10.7405
-7.06545,11.6766
-5.80273,4.68152
-9.79545,27.5085
-12.5891,36.06
-5.54364,3.47345
-6.27636,4.13093
-8.95636,19.6728
-9.28455,18.5865
-5.04091,3.84909
-7.55273,19.959
-6.43182,7.47429
-7.93182,12.9171
-9.22273,25.1195
-9.46727,21.2364
-8.78727,18.9494
-10.9536,34.6266
-6.84455,13.6337
-6.65182,14.7106
-10.8055,38.3759
-8.60636,28.9329
-9.07,27.3449
-8.67182,28.6208
-8.43455,21.3803
-5.49909,5.83565
-5.90545,13.1723
-9.53818,30.3688
-6.27273,8.78178
-5.57364,4.68346
-8.26,28.2178
-4.99455,5.17706
-5.39182,4.66636
-5.33091,4.50748
-5.10364,4.24311
-6.40364,11.1117
-6.52727,16.5365
-4.64091,4.07245
-5.24455,3.70988
-6.58636,12.8841
-6.63545,15.6013
-6.04909,17.5577
-5.94727,18.8397
-5.14818,5.23488
-4.81182,7.63441
-11.4591,34.196
-4.97636,7.18878
-6.32818,16.0207
-5.76545,5.77606
-8.96364,32.0978
-5.45818,5.64538
-4.68,3.8438
-10.3391,35.8015
-4.54273,4.22809
-5.73091,13.514
-5.70818,12.3426
-4.10091,3.74801
-7.61455,27.9752
-4.47364,3.38737
-5.52182,8.97868
-7.18909,19.67
-4.71545,4.66398
-5.74818,15.1052
-4.61818,5.56495
-4.47455,3.59083
-6.74091,16.812
-7.63909,28.5524
-4.66091,6.98929
-4.62818,10.7441
-4.88,10.3569
-4.56,3.67167
