Mean Return,Standard Deviation
21.9727,13.0331
21.6,12.9531
21.2182,11.4093
24.5273,16.3767
20.8091,11.4959
20.4455,13.8197
21.5364,13.7825
21.4273,12.037
21.1545,12.929
22.1636,14.362
22.4182,13.4454
20.2636,11.2525
20.8091,14.1126
21.1727,12.9586
19.7364,10.3291
21.2545,14.4549
21.7636,12.7171
20.9727,10.8488
19.8273,11.1189
21.5364,13.2025
22.1727,12.1481
22.6455,13.4503
21.5364,11.6758
21.0273,11.2221
21.6273,12.4678
22.4364,13.0458
23.3091,11.9423
22.6273,11.9616
22.3545,14.5952
21.6273,15.0935
22.1364,13.6708
23.1909,13.05
21.2273,11.2459
22.5727,12.3878
24.5727,14.6177
20.6182,12.1391
22.5,13.4722
21.4273,10.8699
23.8455,14.7699
25.1364,17.325
22.8727,13.5566
23.5182,14.7615
24.3,14.7085
23.7273,13.7593
25.0091,15.2938
25.1,15.7095
24.6273,15.905
25.2909,15.7535
24.6364,13.6144
22.9364,13.9286
27.1818,17.5437
24.1273,15.0541
22.7091,12.6841
25.9727,15.7051
25.0091,13.9169
24.5636,16.1129
27.3909,18.749
27.1545,18.6086
27.0818,16.8942
23.3,14.0357
25.1273,16.2504
24.3727,15.3341
27.3545,16.0244
27.7273,17.9933
24.5727,16.8977
27.6364,19.143
27.1909,17.0173
31.8455,20.3498
27.1636,20.1392
27.7818,17.7415
28.2818,16.1922
28.6182,22.0087
26.5909,16.7147
28.9273,15.5856
26.3727,18.9741
26.8727,15.4434
28.1636,15.7244
27.7818,14.6628
27.2909,14.8974
27.8091,16.0169
31.4545,19.5263
28.3182,19.6361
29.8455,20.023
28.3909,18.9495
27.9364,17.2346
29.0364,16.4662
32.1182,18.009
28.5909,18.7638
29.7909,21.8666
29.4455,16.6505
32.7818,20.6963
31.7,18.1247
35.0182,24.6506
29.7182,18.3674
30.7364,21.1199
30.7091,21.8281
31.4364,21.1775
31.4545,19.2814
29.5182,17.5126
32.3909,18.3163
30.8455,19.7215
30.9909,20.2935
33.0091,20.8417
32.4182,19.6321
32.9818,20.2367
35.2727,24.7727
35.4182,25.7338
33.3273,21.7535
34.4636,20.422
33.7455,20.9654
34.4273,20.8729
34.6364,19.9792
35.7636,21.9168
31.8818,20.1757
39.4273,27.0102
35.0545,21.3983
34.8091,21.9154
36.0909,23.4476
36.3636,23.6739
34.2818,19.3401
41.2727,29.6808
37.1182,25.2891
34.1818,23.3018
41.9909,29.6585
43.1545,30.3814
37.7636,24.4788
39.9636,26.3139
36.4455,22.5513
37.2,25.8495
41.6636,24.8161
44.4545,32.0328
37.2727,24.5913
39.0909,26.4875
45.2364,32.5844
38.7091,32.2358
46.6364,34.8495
43.7,34.0454
46.7273,35.6399
48.0727,36.8139
44.4273,27.3068
48.2364,27.8877
47.8727,32.9364
47.6909,31.2615
54.0818,40.6981
45.5,34.5014
53.9182,62.6812
48.1909,40.8599
53.2545,40.1516
47.4,36.9409
50.4091,35.4751
50.2636,40.1057
54.2545,46.5906
58.2182,48.5956
52.9909,39.9861
51.8909,47.4493
56.2727,43.6456
58.0182,47.3569
50.6364,31.9948
58.5818,59.7858
55.2364,43.7948
59.4545,42.8485
60.7273,49.0398
64.1818,49.5155
59.1818,47.7646
63.6727,49.3168
61.3364,57.3504
71.2,65.6102
66.5364,50.8523
80.8909,97.9051
76.0455,88.7065
68.5091,74.0441
76.4909,79.056
73.1,62.8331
77.7909,83.691
89.8455,80.4202
99.0909,135.724
98.5273,92.4309
94.5636,106.859
107.955,132.075
110.818,124.545
112.864,163.915
121.491,138.086
129.164,156.915
103.991,108.351
128.309,133.984
148.027,174.347
122.982,130.253
138.127,127.429
157.791,199.456
162.627,186.457
154.809,153.834
171.345,191.49
174.136,172.549
193.118,203.977
198.527,222.899
195.555,240.801
212.5,231.407
222.109,243.837
226.191,253.362
234.055,237.925
263.336,280.271
298.518,299.264
269.018,276.12
280.755,289.266
299.818,279.52
294.927,281.41
311.509,281.072
331.918,305.814
346.073,300.519
362.118,305.975
361.918,297.316
371.991,301.098
377.482,315.333
407.773,315.961
397.9,306.975
432.209,320.57
439.609,322.106
442.655,310.548
438.655,332.42
496.864,343.674
479.273,340.506
519.927,309.673
503.545,337.02
539.482,313.453
536.855,333.976
500.227,327.631
527.373,321.887
550.936,318.54
563.1,308.77
555.527,316.087
576.327,310.309
516.618,301.141
538.973,291.605
588.445,327.42
620.718,316.395
579.382,329.087
615.555,305.485
577.427,321.041
660.5,304.119
658.782,304.248
584.645,296.547
637.191,277.825
628.518,326.875
632.6,293.701
629.255,313.898
645.773,312.843
682.455,279.551
679.373,298.784
715.7,282.954
700.791,282.779
687.1,308.829
708.755,298.914
679.309,299.119
738.773,275.272
693.918,299.617
683.555,309.947
694.727,290.056
700.464,289.229
733.764,277.347
760.209,274.904
748.818,288.23
727.645,284.796
759.864,306.86
739.609,304.201
759.818,274.731
795.664,259.857
779.509,263.939
788.291,264.819
779.255,261.7
802.1,258.269
747.536,268.737
784.645,283.91
752.155,297.504
779.791,280.347
766.791,283.486
773.045,288.605
789.118,294.138
795.764,283.7
784.3,274.47
777.809,288.06
773.682,283.573
823.5,253.964
833.818,255.612
796.473,275.691
837.282,251.412
807.536,271.632
838.645,250.921
824.6,272.463
814.691,273.777
856.818,234.062
855.527,242.085
850.055,267.225
852.873,242.205
858.745,245.992
846.818,265.167
859.218,260.017
874.864,226.447
840.309,265.727
863.355,259.503
863.273,236.674
872.536,233.075
869.936,254.046
853.455,261.287
848.191,265.278
846.255,266.067
852.436,267.695
877.555,240.607
852.127,266.008
883.791,224.404
860.236,257.871
860.027,245.946
880.218,242.707
872.364,259.114
886.473,238.596
903.318,227.841
892.464,217.756
906.255,219.114
883.645,237.801
893.645,238.907
890.618,227.206
918.382,210.619
898.945,227.123
912.409,211.002
869.927,262.618
889.218,249.464
904.264,235.479
889.264,246.684
912.964,202.681
916.364,212.304
901.845,232.889
891.545,232.233
924.973,203.061
892.945,257.897
879.118,249.069
894.218,234.773
900.455,222.838
881.745,245.865
926.409,199.9
878.227,267.685
876.982,254.37
901.382,241.299
874.545,255.641
915.009,222.056
906.118,218.474
850.964,291.444
888.636,253.805
890.936,252.571
873.982,269.662
897.7,245.513
883.709,252.28
897.136,241.171
920.936,219.496
891.164,246.578
903.291,245.126
895.5,236.953
884.627,270.268
909.745,231.039
867.6,280.387
895.864,231.814
889.809,251.118
865.527,279.192
855.555,282.254
852.918,280.527
884.718,266.574
